7.21057675762434e+04	5.40718688507499e+02     2.63798475530570e+01
7.22719885372964e+04	5.40892326257408e+02     2.63498507456593e+01
7.24385926772381e+04	5.41066604681558e+02     2.63191220970992e+01
7.26055808793871e+04	5.41241524848641e+02     2.62876550476941e+01
7.27729540290983e+04	5.41417087809237e+02     2.62554429875790e+01
7.29407130137674e+04	5.41593294595448e+02     2.62224792563694e+01
7.31088587228359e+04	5.41770146220518e+02     2.61887571428219e+01
7.32773920477956e+04	5.41947643678448e+02     2.61542698844945e+01
7.34463138821933e+04	5.42125787943612e+02     2.61190106674049e+01
7.36156251216359e+04	5.42304579970361e+02     2.60829726256877e+01
7.37853266637947e+04	5.42484020692623e+02     2.60461488412499e+01
7.39554194084104e+04	5.42664111023498e+02     2.60085323434256e+01
7.41259042572977e+04	5.42844851854849e+02     2.59701161086292e+01
7.42967821143504e+04	5.43026244056882e+02     2.59308930600071e+01
7.44680538855458e+04	5.43208288477727e+02     2.58908560670886e+01
7.46397204789498e+04	5.43390985943007e+02     2.58499979454352e+01
7.48117828047217e+04	5.43574337255403e+02     2.58083114562892e+01
7.49842417751187e+04	5.43758343194214e+02     2.57657893062199e+01
7.51570983045011e+04	5.43943004514910e+02     2.57224241467706e+01
7.53303533093371e+04	5.44128321948680e+02     2.56782085741025e+01
7.55040077082074e+04	5.44314296201969e+02     2.56331351286388e+01
7.56780624218104e+04	5.44500927956013e+02     2.55871962947073e+01
7.58525183729668e+04	5.44688217866369e+02     2.55403845001818e+01
7.60273764866248e+04	5.44876166562432e+02     2.54926921161225e+01
7.62026376898646e+04	5.45064774646950e+02     2.54441114564158e+01
7.63783029119036e+04	5.45254042695534e+02     2.53946347774129e+01
7.65543730841015e+04	5.45443971256153e+02     2.53442542775670e+01
7.67308491399647e+04	5.45634560848632e+02     2.52929620970704e+01
7.69077320151517e+04	5.45825811964136e+02     2.52407503174904e+01
7.70850226474780e+04	5.46017725064650e+02     2.51876109614041e+01
7.72627219769207e+04	5.46210300582451e+02     2.51335359920327e+01
7.74408309456241e+04	5.46403538919571e+02     2.50785173128753e+01
7.76193504979041e+04	5.46597440447258e+02     2.50225467673410e+01
7.77982815802537e+04	5.46792005505422e+02     2.49656161383818e+01
7.79776251413477e+04	5.46987234402079e+02     2.49077171481233e+01
7.81573821320477e+04	5.47183127412786e+02     2.48488414574961e+01
7.83375535054075e+04	5.47379684780067e+02     2.47889806658657e+01
7.85181402166776e+04	5.47576906712830e+02     2.47281263106625e+01
7.86991432233110e+04	5.47774793385783e+02     2.46662698670110e+01
7.88805634849674e+04	5.47973344938832e+02     2.46034027473588e+01
7.90624019635192e+04	5.48172561476481e+02     2.45395163011049e+01
7.92446596230557e+04	5.48372443067211e+02     2.44746018142280e+01
7.94273374298889e+04	5.48572989742865e+02     2.44086505089146e+01
7.96104363525585e+04	5.48774201498017e+02     2.43416535431864e+01
7.97939573618366e+04	5.48976078289330e+02     2.42736020105279e+01
7.99779014307334e+04	5.49178620034909e+02     2.42044869395139e+01
8.01622695345021e+04	5.49381826613650e+02     2.41342992934368e+01
8.03470626506439e+04	5.49585697864568e+02     2.40630299699339e+01
8.05322817589135e+04	5.49790233586127e+02     2.39906698006152e+01
8.07179278413243e+04	5.49995433535558e+02     2.39172095506901e+01
8.09040018821533e+04	5.50201297428165e+02     2.38426399185961e+01
8.10905048679465e+04	5.50407824936621e+02     2.37669515356262e+01
8.12774377875242e+04	5.50615015690263e+02     2.36901349655574e+01
8.14648016319861e+04	5.50822869274368e+02     2.36121807042791e+01
8.16525973947167e+04	5.51031385229424e+02     2.35330791794227e+01
8.18408260713904e+04	5.51240563050389e+02     2.34528207499910e+01
8.20294886599770e+04	5.51450402185944e+02     2.33713957059885e+01
8.22185861607466e+04	5.51660902037732e+02     2.32887942680522e+01
8.24081195762754e+04	5.51872061959590e+02     2.32050065870837e+01
8.25980899114507e+04	5.52083881256765e+02     2.31200227438813e+01
8.27884981734764e+04	5.52296359185133e+02     2.30338327487738e+01
8.29793453718780e+04	5.52509494950389e+02     2.29464265412545e+01
